Name,Priority,Markup,Level,Limit,Expr
"Engine Customization",1,1,1,"Level","-1","Global.EC = Level; Global.ECLevel = Level; Local.base = 0.75 + 0.5 * Level;Global.ECCost = Engine.Cost * Local.base; Cost += Global.ECCost"
"Engine Customization: Speed",2,1,1,"Level","Global.EC >= 0","Global.EC -= Level;Speed += 30 * Level; Local.Max = Speed >> SpeedMax; SpeedMax = Local.Max << SpeedMax * 1.75"
"Engine Customization: Acceleration",2,1,1,"Level","Global.EC >= 0","Global.EC -= Level;Accel += 2 * Level; Local.Max = Accel >> AccelMax; AccelMax = Local.Max << AccelMax * 1.75"
"Engine Customization: Load",2,1,1,"Level","Global.EC >= 0","Global.EC -= Level;Load += 50 * Body * Level; Local.Max = Load >> LoadMax; LoadMax = Local.Max << LoadMax * 1.75"
"Gridlink Power",1,1,0,"","Engine.EngineName == 'Electric*' && Chassis.ChassisType & 1 == 1 && Pilot == -1 && Level == 0",""
"Nitrous Oxide Injectors",1,1,0,"Level","Engine.EngineName == 'Gasoline*' || Engine.EngineName == 'Diesel*' && Level <= 6","Cost += 55 * Level;CFUsed += 1.5;LoadUsed += 15"
"SunCell Power",1,1,0,"","Engine.EngineName == 'Electric*' && Chassis.ChassisType & 17 != 17 && Level == 0","Cost += 5"
"Turbocharging",100,1,0,"Level","Engine.EngineName == 'Gasoline*' || Engine.EngineName == 'Diesel*' || Engine.EngineName == 'Methane*' && Chassis.ChassisType & 8 == 0 || Engine.EngineName == 'Electric*'","Cost += Engine.Cost * 1.75 ^ Level;Speed += 15 * Level; Accel += Level;Sig -= 1 * Level;Economy *= 0.95 ^ Level;Engine.SpeedMax * 0.25 < 15; SpeedMax += 15 ? Engine.SpeedMax * 0.25"
"Adjusted Controls (Dwarf)",1,1,0,"","Level == 0","Cost += 25"
"Adjusted Controls (Troll)",1,1,0,"","Level == 0","Cost += 35"
"Adjusted Controls (Other)",1,1,0,"","Level == 0","Cost += 30"
"Autonav",1,1,0,"Level","Chassis.ChassisType != 17 || Level <= 2 || Global.Rigged && Level <= 4","Cost -= Autonav : 5 10 50 150; Autonav = Level; Cost += Level : 5 10 50 150"
"Contingency Maneuver Controls",1,1,0,"Rating","Level < 10","Cost += Level : 35 70 105 300 375 450 1050 1200 1350; LoadUsed += 25"
"Datajack port",1,1,0,"","Level == 0","Cost += 25;LoadUsed += 10"
"Drive-by-Wire",1,1,0,"Level","Level <= 3","Level > 0;Global.DBW = 10 ? 0; Global.DBWLevel = Level; Handling -= Level; Cost += Chassis.Cost * 1.75 ^ Level - Chassis.Cost"
"Drive-by-Wire: Accel",3,1,0,"Level","Global.DBW >= 0","Global.DBWLevel -= Level;Accel += Level / 100 * Accel"
"Drive-by-Wire: Speed",3,1,0,"Level","Global.DBW >= 0","Global.DBWLevel -= Level;Speed += Level / 100 * Speed"
"Drive-by-Wire: Load",3,1,0,"Level","Global.DBW >= 0","Global.DBWLevel -= Level;Load += Level / 100 * Load"
"Improved Control Surfaces",2,1,0,"Level","Chassis.ChassisType & 2 && Global.DBW == 0 && Level <= 2","Handling -= Level; Cost += Chassis.Cost * 1.40 ^ Level - Chassis.Cost"
"Improved Suspension",2,1,0,"Level","Chassis.ChassisName != '*Tracked' && Chassis.ChassisType & 1 && Global.DBW == 0 && Level <= 2","Handling -= Level; Chassis.ChassisType & 17 == 17; OffRoad -= Level ? 0; Cost += Chassis.Cost * 1.25 ^ Level - Chassis.Cost"
"Off-Road Suspension",1,1,0,"Level","Chassis.ChassisName != '*Tracked' && Chassis.ChassisType & 1 && Level <= 2","Handling += Level; OffRoad -= Level; Speed -= 15; Local.foo = Chassis.ChassisType / 8; Economy *= Local.foo : 1.15 1.3 1.3 1.4; Cost += Chassis.Cost * 1.50 ^ Level - Chassis.Cost"
"Remote-Control Interfaces",1,1,0,"","Level == 0","Pilot = 1; Cost += 25 * Body"
"Remote Pilot Advanced Programming",2,1,0,"Rating","Pilot >= 0 && Level <= 5","Cost -= Pilot : 0 50 250 1250 5000; Pilot = Level; Cost += Level : 0 50 250 1250 5000; Security = Security >> Level : 0 0 0 1 0; Military = Military >> Level : 0 0 0 0 1"
"Rigger Adaptation",1,1,0,"","Level == 0","Cost += 35; Global.Rigged = 1"
"Secondary Controls",1,1,0,"","Chassis.ChassisType != 17 && Level == 0","CFUsed += 1; Cost += 5"
"Standard Armour",1,1,0,"Armour","-1","Armour += Level; LoadUsed += Body * Body * 5 * Level; Handling += Level / 6; Cost += 50 * Level"
"Concealed Armour",1,1,0,"Armour","-1","Armour += Level; LoadUsed += Body * Body * 5 * Level; CFUsed += 2 * Level; Cost += 50 * Level"
"Ablative Armour",1,1,1,"Armour","Level <= 3","LoadUsed += Body * 100; Armour += 2 * Level; Local.lev = Level + 2; Local.cost = Local.lev * Local.lev * 100; Level > 1; Cost += Local.cost ? 700"
"Advanced Passenger Protection Systems",1,1,0,"Seats","Chassis.ChassisType & 17 != 17","Cost += 30 * Level"
"Crash Cages",1,1,0,"","Chassis.ChassisType & 17 != 17 && Level == 0","LoadUsed += 10; Cost += 40"
